Star,Semantic
3150,0
3255,20
3521,752
3199,797
3466,656
3359,834
4653,1048
3891,845
3418,728
3421,891
3586,695
3443,720
3298,838
3212,2
3451,754
3405,916
3302,836
2983,490
4134,941
3407,0
3792,944
3462,738
3483,791
3194,0
3377,722
3567,3
3643,738
3480,840
3567,806
3293,793
3238,576
3993,893
3625,906
3483,722
2821,610
3265,807
3566,791
3571,791
3809,815
3880,808
3427,805
3928,0
3545,759
3302,786
3109,625
3668,814
3605,694
3445,801
3663,755
3067,678
3590,0
3482,919
3590,734
3265,776
3829,1002
3287,664
2895,0
2783,570
2952,0
3283,632
3628,802
3545,0
3249,638
3347,718
3778,0
3252,675
3475,1
3277,0
3491,803
3762,835
3787,816
3839,847
3968,877
3132,581
3755,1
3775,0
3485,0
3586,791
3069,628
3582,817
3620,738
3652,0
3559,718
3091,593
3592,797
3483,773
3014,606
3498,795
3970,838
3053,754
3596,757
3174,0
4600,1077
3564,845
3211,0
3217,766
3884,830
3082,716
3102,729
2788,635
